Centroid X µm,Centroid Y µm,Image,Leiden Cluster Label,cluster_color
3557.8,7206.1,test_image,8,#17becf
3398.9,7207.8,test_image,11,#98df8a
3449.9,7208.3,test_image,0,#1f77b4
3382.6,7210.5,test_image,3,#d62728
3568.6,7210.9,test_image,10,#ffbb78
3392.6,7211.1,test_image,3,#d62728
3426.0,7211.3,test_image,3,#d62728
3475.7,7212.2,test_image,0,#1f77b4
3442.5,7213.7,test_image,0,#1f77b4
3434.2,7214.4,test_image,3,#d62728
3559.8,7216.8,test_image,0,#1f77b4
3545.0,7216.3,test_image,8,#17becf
3575.6,7216.6,test_image,0,#1f77b4
3468.0,7217.5,test_image,0,#1f77b4
3488.4,7217.7,test_image,8,#17becf
3461.0,7218.0,test_image,0,#1f77b4
3588.8,7217.5,test_image,11,#98df8a
3455.0,7218.6,test_image,0,#1f77b4
3399.3,7219.1,test_image,0,#1f77b4
3368.7,7218.8,test_image,3,#d62728
3383.1,7222.4,test_image,3,#d62728
3499.3,7223.8,test_image,0,#1f77b4
3523.8,7224.1,test_image,8,#17becf
3576.8,7225.6,test_image,0,#1f77b4
3592.7,7226.1,test_image,0,#1f77b4
3429.9,7225.5,test_image,0,#1f77b4
3376.4,7227.0,test_image,3,#d62728
3567.5,7229.3,test_image,0,#1f77b4
3401.4,7230.2,test_image,0,#1f77b4
3445.3,7231.1,test_image,0,#1f77b4
3512.3,7231.8,test_image,0,#1f77b4
3351.5,7232.2,test_image,3,#d62728
3579.1,7233.1,test_image,0,#1f77b4
3436.0,7235.4,test_image,0,#1f77b4
3502.6,7235.3,test_image,0,#1f77b4
3555.0,7236.3,test_image,0,#1f77b4
3362.3,7237.5,test_image,3,#d62728
3573.7,7237.7,test_image,0,#1f77b4
3426.2,7237.4,test_image,11,#98df8a
3585.8,7236.6,test_image,0,#1f77b4
3478.6,7241.6,test_image,3,#d62728
3415.9,7241.2,test_image,0,#1f77b4
3457.7,7241.4,test_image,0,#1f77b4
3565.3,7243.3,test_image,0,#1f77b4
3394.6,7243.6,test_image,0,#1f77b4
3588.0,7245.8,test_image,11,#98df8a
3493.0,7244.8,test_image,0,#1f77b4
3375.6,7246.5,test_image,8,#17becf
3384.6,7247.4,test_image,0,#1f77b4
3402.2,7250.0,test_image,0,#1f77b4
3389.0,7250.6,test_image,3,#d62728
3532.5,7250.4,test_image,11,#98df8a
3455.0,7250.9,test_image,1,#ff7f0e
3489.0,7250.8,test_image,0,#1f77b4
3509.9,7250.8,test_image,0,#1f77b4
3559.9,7251.1,test_image,0,#1f77b4
3570.3,7252.0,test_image,0,#1f77b4
3366.3,7252.2,test_image,2,#279e68
3482.4,7252.8,test_image,3,#d62728
3442.0,7253.1,test_image,0,#1f77b4
3494.2,7254.0,test_image,11,#98df8a
3408.1,7255.1,test_image,0,#1f77b4
3355.0,7254.8,test_image,8,#17becf
3516.0,7256.2,test_image,0,#1f77b4
3462.5,7257.1,test_image,0,#1f77b4
3549.5,7257.8,test_image,8,#17becf
3377.8,7261.6,test_image,3,#d62728
3418.5,7262.2,test_image,0,#1f77b4
3555.5,7262.3,test_image,8,#17becf
3570.2,7263.2,test_image,8,#17becf
3446.9,7263.3,test_image,0,#1f77b4
3436.0,7264.2,test_image,0,#1f77b4
3479.2,7264.4,test_image,0,#1f77b4
3351.1,7265.6,test_image,3,#d62728
3516.7,7266.3,test_image,0,#1f77b4
3591.3,7266.2,test_image,0,#1f77b4
3361.9,7266.0,test_image,11,#98df8a
3454.7,7268.1,test_image,0,#1f77b4
3541.9,7269.5,test_image,8,#17becf
3408.5,7270.5,test_image,0,#1f77b4
3559.3,7271.1,test_image,0,#1f77b4
3464.6,7271.2,test_image,3,#d62728
3365.6,7271.4,test_image,11,#98df8a
3502.4,7270.9,test_image,3,#d62728
3388.3,7272.9,test_image,3,#d62728
3493.1,7273.2,test_image,0,#1f77b4
3425.1,7273.8,test_image,11,#98df8a
3577.6,7274.4,test_image,0,#1f77b4
3444.4,7275.3,test_image,0,#1f77b4
3568.2,7279.1,test_image,0,#1f77b4
3592.6,7278.7,test_image,10,#ffbb78
3419.7,7280.0,test_image,0,#1f77b4
3508.3,7279.6,test_image,3,#d62728
3549.9,7280.8,test_image,0,#1f77b4
3471.4,7281.1,test_image,11,#98df8a
3518.2,7281.3,test_image,0,#1f77b4
3434.0,7283.0,test_image,0,#1f77b4
3446.6,7285.7,test_image,0,#1f77b4
3357.8,7284.7,test_image,3,#d62728
3408.3,7286.4,test_image,3,#d62728
3369.3,7286.2,test_image,3,#d62728
3389.4,7287.5,test_image,11,#98df8a
3508.2,7290.2,test_image,0,#1f77b4
3499.1,7289.2,test_image,3,#d62728
3482.2,7290.3,test_image,0,#1f77b4
3429.2,7293.0,test_image,0,#1f77b4
3449.9,7293.6,test_image,11,#98df8a
3379.1,7293.8,test_image,3,#d62728
3577.4,7294.2,test_image,3,#d62728
3352.0,7295.6,test_image,3,#d62728
3532.1,7297.7,test_image,0,#1f77b4
3483.1,7298.5,test_image,0,#1f77b4
3474.8,7299.6,test_image,0,#1f77b4
3496.2,7300.0,test_image,0,#1f77b4
3401.6,7299.4,test_image,3,#d62728
3556.8,7299.5,test_image,11,#98df8a
3460.2,7300.2,test_image,8,#17becf
3544.6,7301.0,test_image,0,#1f77b4
3370.1,7301.5,test_image,3,#d62728
3417.0,7301.1,test_image,0,#1f77b4
3387.1,7301.4,test_image,11,#98df8a
3449.6,7304.8,test_image,8,#17becf
3351.2,7304.8,test_image,4,#aa40fc
3467.9,7306.5,test_image,0,#1f77b4
3427.2,7306.1,test_image,8,#17becf
3362.4,7307.6,test_image,3,#d62728
3403.0,7308.2,test_image,11,#98df8a
3520.5,7308.3,test_image,0,#1f77b4
3382.0,7309.3,test_image,3,#d62728
3508.2,7309.2,test_image,8,#17becf
3492.5,7311.0,test_image,0,#1f77b4
3543.9,7311.5,test_image,11,#98df8a
3435.2,7312.2,test_image,2,#279e68
3595.0,7312.3,test_image,3,#d62728
3573.3,7311.4,test_image,0,#1f77b4
3480.0,7313.2,test_image,8,#17becf
3534.3,7312.5,test_image,11,#98df8a
3391.5,7314.0,test_image,4,#aa40fc
3560.8,7312.6,test_image,0,#1f77b4
3420.1,7315.8,test_image,11,#98df8a
3372.7,7317.2,test_image,3,#d62728
3456.8,7316.5,test_image,8,#17becf
3357.7,7318.1,test_image,5,#8c564b
3384.2,7318.1,test_image,4,#aa40fc
3585.0,7319.0,test_image,0,#1f77b4
3543.7,7318.7,test_image,10,#ffbb78
3401.6,7320.5,test_image,0,#1f77b4
3412.5,7322.1,test_image,0,#1f77b4
3523.8,7321.7,test_image,0,#1f77b4
3533.4,7322.9,test_image,0,#1f77b4
3504.0,7322.8,test_image,8,#17becf
3551.2,7322.7,test_image,0,#1f77b4
3572.1,7323.2,test_image,11,#98df8a
3510.5,7324.4,test_image,8,#17becf
3468.7,7323.3,test_image,8,#17becf
3456.9,7325.6,test_image,8,#17becf
3438.7,7325.1,test_image,0,#1f77b4
3490.6,7325.6,test_image,0,#1f77b4
3560.9,7328.2,test_image,0,#1f77b4
3517.2,7328.7,test_image,3,#d62728
3447.9,7329.0,test_image,4,#aa40fc
3541.9,7329.4,test_image,0,#1f77b4
3467.6,7330.2,test_image,2,#279e68
3418.6,7330.7,test_image,0,#1f77b4
3385.1,7330.0,test_image,3,#d62728
3393.6,7332.0,test_image,4,#aa40fc
3405.4,7333.5,test_image,0,#1f77b4
3375.2,7333.6,test_image,4,#aa40fc
3453.0,7335.5,test_image,8,#17becf
3580.4,7335.3,test_image,0,#1f77b4
3351.1,7335.6,test_image,11,#98df8a
3435.4,7337.0,test_image,0,#1f77b4
3493.0,7339.8,test_image,0,#1f77b4
3568.8,7340.7,test_image,0,#1f77b4
3528.5,7340.1,test_image,0,#1f77b4
3547.8,7340.5,test_image,0,#1f77b4
3364.3,7341.1,test_image,2,#279e68
3355.3,7341.1,test_image,2,#279e68
3391.7,7341.8,test_image,4,#aa40fc
3426.0,7342.1,test_image,11,#98df8a
3537.8,7344.1,test_image,0,#1f77b4
3483.4,7342.8,test_image,11,#98df8a
3458.5,7342.6,test_image,0,#1f77b4
3354.4,7347.0,test_image,6,#e377c2
3414.6,7347.0,test_image,4,#aa40fc
3594.2,7348.5,test_image,0,#1f77b4
3439.2,7348.5,test_image,8,#17becf
3463.2,7350.9,test_image,10,#ffbb78
3430.7,7350.1,test_image,1,#ff7f0e
3569.4,7352.8,test_image,0,#1f77b4
3447.3,7353.1,test_image,4,#aa40fc
3396.1,7352.6,test_image,4,#aa40fc
3404.1,7353.2,test_image,4,#aa40fc
3551.4,7353.2,test_image,8,#17becf
3491.0,7354.7,test_image,0,#1f77b4
3579.7,7355.5,test_image,3,#d62728
3436.6,7357.3,test_image,3,#d62728
3454.2,7357.8,test_image,0,#1f77b4
3427.3,7358.3,test_image,3,#d62728
3593.9,7359.1,test_image,0,#1f77b4
3506.8,7359.3,test_image,0,#1f77b4
3544.8,7359.8,test_image,8,#17becf
3461.7,7360.9,test_image,3,#d62728
3414.4,7361.9,test_image,3,#d62728
3368.2,7362.9,test_image,7,#b5bd61
3481.6,7363.3,test_image,8,#17becf
3552.2,7364.3,test_image,8,#17becf
3444.0,7366.2,test_image,3,#d62728
3533.3,7365.7,test_image,11,#98df8a
3376.6,7366.4,test_image,7,#b5bd61
